temperature,humidity ,wind,Rainfall
24,65,8,0
26,76,2,0
25,62,10,0
26,65,11,0
26,67,11,0
25,72,10,0
25,66,11,0
25,72,8,0
25,70,5,0
27,73,5,0
26,72,6,0
26,67,5,0
26,71,6,0
27,66,5,0
24,59,5,0
24,61,8,0
24,72,8,0
25,77,10,0
16,100,0,0
26,68,14,0
27,70,10,0
25,72,6,0
23,74,14,0
21,88,14,0
20,85,13,0
22,66,11,0
22,60,5,0
24,59,10,0
20,74,6,0
20,54,19,0
22,53,13,0
22,55,10,0
24,61,6,0
24,60,10,0
26,60,8,0
28,67,3,0
26,70,6,0
27,76,6,0
22,91,11,0
25,64,18,0
24,50,13,0
23,52,11,0
24,40,18,0
23,47,6,0
24,54,2,0
25,63,3,0
24,74,5,0
25,79,5,0
25,56,14,0
27,48,14,0
27,62,6,0
28,64,6,0
27,65,5,0
28,75,10,0
27,67,5,0
28,63,10,0
28,48,11,0
28,57,6,0
28,68,5,0
27,69,3,0
23,90,0,0
28,68,10,0
29,61,13,0
28,61,5,0
29,72,5,0
28,80,6,0
29,78,6,0
28,76,5,0
28,82,3,0
30,72,3,0
28,75,5,0
28,86,3,0
28,83,5,0
33,64,10,0
31,66,3,0
29,76,6,0
28,76,11,0
28,73,6,0
29,78,11,0
29,75,14,0
30,80,10,0
30,73,6,0
30,66,8,0
30,75,6,0
30,78,11,0
30,77,11,0
30,76,11,0
30,73,8,0
30,72,10,0
31,64,11,0
29,67,5,0
29,74,8,0
30,65,11,0
32,55,14,0
32,57,13,0
32,54,10,0
31,44,16,0
31,56,8,0
31,60,6,0
31,66,5,0
30,76,8,0
30,78,14,0
31,73,14,0
30,73,10,0
30,72,11,0
31,76,11,0
31,76,13,0
31,77,10,0
31,75,6,0
31,78,6,0
32,74,8,0
32,80,6,0
32,73,6,0
31,73,13,0
31,69,11,0
31,73,11,0
31,70,14,0
31,73,10,0
32,72,8,0
33,71,10,0
32,67,10,0
32,74,5,0
33,67,13,0
31,72,10,0
31,70,16,0
32,68,11,0
32,75,8,0
31,73,11,0
32,69,6,0
31,72,11,0
31,66,10,0
32,72,10,0
30,75,6,0
31,75,8,0
31,77,11,0
28,86,11,0
32,76,19,0
31,69,11,0
30,68,10,0
30,74,11,0
31,73,14,0
32,75,11,0
30,78,6,0
30,79,11,0
29,79,14,0
30,79,16,0
30,79,14,0
32,82,13,0
32,80,18,0
30,74,14,0
31,74,16,0
31,72,11,0
31,80,11,0
31,80,11,0
28,86,11,0
29,78,13,0
30,76,19,0
31,74,13,0
31,80,18,0
30,79,24,0
31,80,16,0
30,82,18,0
31,79,19,0
32,76,13,0
33,77,6,0
28,90,32,0
27,93,26,0
27,87,18,0
29,88,16,0
29,80,11,0
30,84,13,0
30,83,14,0
31,79,18,0
31,77,14,0
31,77,14,0
30,80,19,0
30,77,19,0
30,80,19,0
27,93,16,0
26,93,18,0
27,86,26,0
26,93,16,0
28,93,11,0
27,91,16,0
27,92,13,0
27,90,16,0
28,89,14,0
31,80,21,0
30,79,16,0
30,79,18,0
29,84,16,0
27,85,18,0
27,94,11,0
27,94,14,0
27,90,18,0
27,90,16,0
27,87,16,0
29,85,18,0
30,85,16,0
29,82,18,0
29,84,16,0
30,81,13,0
30,81,14,0
31,85,13,0
29,84,13,0
30,82,10,0
31,80,3,0
30,75,21,0
30,77,19,0
30,76,21,0
29,80,18,0
31,80,13,0
31,78,11,0
32,74,14,0
31,77,16,0
29,82,19,0
30,84,16,0
30,80,10,0
32,77,6,0
30,79,18,0
30,83,23,0
28,92,18,0
30,88,16,0
28,89,16,0
30,85,21,0
29,85,21,0
30,82,18,0
27,92,13,0
26,97,14,0
29,87,13,0
29,82,21,0
29,80,13,0
30,77,10,0
30,78,10,0
30,82,13,0
29,84,13,0
30,81,11,0
29,84,11,0
29,88,16,0
29,92,14,0
28,88,14,0
29,86,11,0
30,81,6,0
30,82,8,0
27,89,14,0
27,90,13,0
26,91,8,0
29,80,6,0
30,83,8,0
30,81,13,0
31,78,8,0
32,76,6,0
32,70,11,0
31,78,13,0
30,82,3,0
31,82,8,0
31,73,8,0
31,75,21,0
30,82,21,0
31,79,16,0
31,80,10,0
31,79,11,0
30,79,8,0
29,82,13,1
30,81,14,0
31,74,13,1
30,71,18,0
